sourceId,sourceProductId,legacyUrl,sourceFile,sourcePageType,sourceType,displayedName,pageTitle,heading,detectedCategory,detectedCollection,imageReferenceCount,descriptionFound,specificationFound,sourceStatus,price,handle
SRC-0402,57337029,https://www.dsdiamond.com.tw/products/女戒14,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html,HTML,products-json,三生之約｜Trilogy Vow,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,115000,女戒14
SRC-0431,57337029,https://www.dsdiamond.com.tw/products/女戒14,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html,HTML,products-json,三生之約｜Trilogy Vow,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,115000,女戒14
SRC-0519,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,window.c12t,三生之約｜Trilogy Vow,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,115000.0,
SRC-0529,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,三生之約｜Trilogy Vow,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,115000.0,
SRC-0621,57337029,https://www.dsdiamond.com.tw/products/女戒14,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html,首頁產品卡片,products-json,三生之約｜Trilogy Vow,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,115000,女戒14
SRC-0200,57337031,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,星語誓約｜Celestial Vow,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0608,57337031,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,星語誓約｜Celestial Vow,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0207,57337032,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,流光心語｜Gleaming Vow,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0615,57337032,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,流光心語｜Gleaming Vow,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0109,57337033,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,星影之語｜Starlit Promise,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,105000,
SRC-0272,57337033,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,星影之語｜Starlit Promise,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,105000,
SRC-0551,57337033,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,星影之語｜Starlit Promise,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,105000,
SRC-0098,57337034,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,半壁江山｜Destined Dominion,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,105000,
SRC-0261,57337034,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,半壁江山｜Destined Dominion,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,105000,
SRC-0540,57337034,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,半壁江山｜Destined Dominion,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,105000,
SRC-0082,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,window.c12t,光芒綻放｜Radiant Bloom,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,105000.0,
SRC-0092,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,光芒綻放｜Radiant Bloom,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,105000.0,
SRC-0245,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,window.c12t,光芒綻放｜Radiant Bloom,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,有效,105000.0,
SRC-0255,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,光芒綻放｜Radiant Bloom,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,105000.0,
SRC-0358,57337037,https://www.dsdiamond.com.tw/products/女戒21,../dsdiamond_backup/site/www.dsdiamond.com.tw/index.html,HTML,products-json,光芒綻放｜Radiant Bloom,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,105000,女戒21
SRC-0407,57337037,https://www.dsdiamond.com.tw/products/女戒21,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html,HTML,products-json,光芒綻放｜Radiant Bloom,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,105000,女戒21
SRC-0436,57337037,https://www.dsdiamond.com.tw/products/女戒21,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html,HTML,products-json,光芒綻放｜Radiant Bloom,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,105000,女戒21
SRC-0524,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,window.c12t,光芒綻放｜Radiant Bloom,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,105000.0,
SRC-0534,57337037,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,光芒綻放｜Radiant Bloom,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,105000.0,
SRC-0626,57337037,https://www.dsdiamond.com.tw/products/女戒21,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html,首頁產品卡片,products-json,光芒綻放｜Radiant Bloom,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,105000,女戒21
SRC-0080,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,window.c12t,交織之緣｜Entwined Destiny,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,28000.0,
SRC-0090,57337039,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,交織之緣｜Entwined Destiny,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,28000.0,
